"ID","cluster","cluster.name","hex"
32489,5,4,"#6ca6cdff"
32500,2,1,"#cd2626ff"
32501,2,1,"#cd2626ff"
32530,2,1,"#cd2626ff"
32531,2,1,"#cd2626ff"
32587,3,2,"#eead0eff"
32590,3,2,"#eead0eff"
32678,2,1,"#cd2626ff"
32679,3,2,"#eead0eff"
32680,2,1,"#cd2626ff"
32683,3,2,"#eead0eff"
32684,3,2,"#eead0eff"
32685,3,2,"#eead0eff"
32688,1,3,"#43cd80ff"
32689,3,2,"#eead0eff"
32690,3,2,"#eead0eff"
32698,5,4,"#6ca6cdff"
32699,1,3,"#43cd80ff"
32700,1,3,"#43cd80ff"
32701,1,3,"#43cd80ff"
32702,1,3,"#43cd80ff"
32703,1,3,"#43cd80ff"
32704,1,3,"#43cd80ff"
32705,1,3,"#43cd80ff"
32708,1,3,"#43cd80ff"
32709,1,3,"#43cd80ff"
32710,4,5,"#b452cdff"
32861,2,1,"#cd2626ff"
32862,2,1,"#cd2626ff"
32890,5,4,"#6ca6cdff"
32891,5,4,"#6ca6cdff"
32950,2,1,"#cd2626ff"
33038,1,3,"#43cd80ff"
33039,2,1,"#cd2626ff"
33042,2,1,"#cd2626ff"
33043,3,2,"#eead0eff"
33044,3,2,"#eead0eff"
33045,3,2,"#eead0eff"
33049,3,2,"#eead0eff"
33050,5,4,"#6ca6cdff"
33051,5,4,"#6ca6cdff"
33052,5,4,"#6ca6cdff"
33058,2,1,"#cd2626ff"
33059,1,3,"#43cd80ff"
33061,1,3,"#43cd80ff"
33062,1,3,"#43cd80ff"
33063,1,3,"#43cd80ff"
33065,1,3,"#43cd80ff"
33066,1,3,"#43cd80ff"
33068,1,3,"#43cd80ff"
33069,1,3,"#43cd80ff"
33222,4,5,"#b452cdff"
33223,4,5,"#b452cdff"
33249,3,2,"#eead0eff"
33250,5,4,"#6ca6cdff"
33310,3,2,"#eead0eff"
33396,1,3,"#43cd80ff"
33397,1,3,"#43cd80ff"
33398,1,3,"#43cd80ff"
33400,5,4,"#6ca6cdff"
33401,5,4,"#6ca6cdff"
33402,3,2,"#eead0eff"
33403,3,2,"#eead0eff"
33404,2,1,"#cd2626ff"
33406,1,3,"#43cd80ff"
33407,2,1,"#cd2626ff"
33409,1,3,"#43cd80ff"
33410,1,3,"#43cd80ff"
33412,5,4,"#6ca6cdff"
33413,3,2,"#eead0eff"
33418,5,4,"#6ca6cdff"
33419,1,3,"#43cd80ff"
33426,1,3,"#43cd80ff"
33428,1,3,"#43cd80ff"
33429,1,3,"#43cd80ff"
33583,4,5,"#b452cdff"
33609,2,1,"#cd2626ff"
33610,3,2,"#eead0eff"
33670,3,2,"#eead0eff"
33759,1,3,"#43cd80ff"
33760,5,4,"#6ca6cdff"
33761,3,2,"#eead0eff"
33762,3,2,"#eead0eff"
33764,5,4,"#6ca6cdff"
33766,2,1,"#cd2626ff"
33767,2,1,"#cd2626ff"
33768,1,3,"#43cd80ff"
33769,2,1,"#cd2626ff"
33774,3,2,"#eead0eff"
33778,5,4,"#6ca6cdff"
33786,1,3,"#43cd80ff"
33943,4,5,"#b452cdff"
33968,2,1,"#cd2626ff"
33969,2,1,"#cd2626ff"
34011,3,2,"#eead0eff"
34012,3,2,"#eead0eff"
34013,3,2,"#eead0eff"
34014,3,2,"#eead0eff"
34015,3,2,"#eead0eff"
34018,3,2,"#eead0eff"
34019,3,2,"#eead0eff"
34026,3,2,"#eead0eff"
34027,3,2,"#eead0eff"
34028,3,2,"#eead0eff"
34029,3,2,"#eead0eff"
34030,3,2,"#eead0eff"
34118,1,3,"#43cd80ff"
34119,1,3,"#43cd80ff"
34121,3,2,"#eead0eff"
34124,3,2,"#eead0eff"
34128,1,3,"#43cd80ff"
34129,1,3,"#43cd80ff"
34135,3,2,"#eead0eff"
34136,2,1,"#cd2626ff"
34138,5,4,"#6ca6cdff"
34139,1,3,"#43cd80ff"
34148,2,1,"#cd2626ff"
34303,4,5,"#b452cdff"
34323,2,1,"#cd2626ff"
34324,1,3,"#43cd80ff"
34325,1,3,"#43cd80ff"
34326,1,3,"#43cd80ff"
34327,4,5,"#b452cdff"
34328,1,3,"#43cd80ff"
34370,3,2,"#eead0eff"
34371,3,2,"#eead0eff"
34372,3,2,"#eead0eff"
34375,3,2,"#eead0eff"
34376,3,2,"#eead0eff"
34377,3,2,"#eead0eff"
34378,3,2,"#eead0eff"
34379,3,2,"#eead0eff"
34380,3,2,"#eead0eff"
34381,3,2,"#eead0eff"
34385,3,2,"#eead0eff"
34386,3,2,"#eead0eff"
34389,3,2,"#eead0eff"
34461,2,1,"#cd2626ff"
34478,1,3,"#43cd80ff"
34481,3,2,"#eead0eff"
34483,1,3,"#43cd80ff"
34484,1,3,"#43cd80ff"
34496,3,2,"#eead0eff"
34497,1,3,"#43cd80ff"
34498,5,4,"#6ca6cdff"
34499,2,1,"#cd2626ff"
34500,1,3,"#43cd80ff"
34501,1,3,"#43cd80ff"
34502,1,3,"#43cd80ff"
34663,4,5,"#b452cdff"
34682,2,1,"#cd2626ff"
34683,2,1,"#cd2626ff"
34684,2,1,"#cd2626ff"
34685,1,3,"#43cd80ff"
34729,3,2,"#eead0eff"
34730,3,2,"#eead0eff"
34742,3,2,"#eead0eff"
34743,3,2,"#eead0eff"
34744,3,2,"#eead0eff"
34745,3,2,"#eead0eff"
34746,3,2,"#eead0eff"
34820,2,1,"#cd2626ff"
34821,2,1,"#cd2626ff"
34822,2,1,"#cd2626ff"
34840,3,2,"#eead0eff"
34841,3,2,"#eead0eff"
34842,3,2,"#eead0eff"
34843,1,3,"#43cd80ff"
34857,2,1,"#cd2626ff"
34858,2,1,"#cd2626ff"
34859,2,1,"#cd2626ff"
34861,1,3,"#43cd80ff"
34862,1,3,"#43cd80ff"
34863,1,3,"#43cd80ff"
34865,1,3,"#43cd80ff"
34867,2,1,"#cd2626ff"
34875,4,5,"#b452cdff"
34899,4,5,"#b452cdff"
35019,2,1,"#cd2626ff"
35020,2,1,"#cd2626ff"
35022,2,1,"#cd2626ff"
35023,4,5,"#b452cdff"
35024,2,1,"#cd2626ff"
35041,4,5,"#b452cdff"
35042,4,5,"#b452cdff"
35088,3,2,"#eead0eff"
35089,3,2,"#eead0eff"
35180,2,1,"#cd2626ff"
35182,1,3,"#43cd80ff"
35199,3,2,"#eead0eff"
35200,3,2,"#eead0eff"
35201,3,2,"#eead0eff"
35217,2,1,"#cd2626ff"
35218,2,1,"#cd2626ff"
35223,1,3,"#43cd80ff"
35224,1,3,"#43cd80ff"
35225,1,3,"#43cd80ff"
35227,1,3,"#43cd80ff"
35235,4,5,"#b452cdff"
35252,1,3,"#43cd80ff"
35259,4,5,"#b452cdff"
35377,2,1,"#cd2626ff"
35378,2,1,"#cd2626ff"
35379,2,1,"#cd2626ff"
35380,2,1,"#cd2626ff"
35381,2,1,"#cd2626ff"
35382,2,1,"#cd2626ff"
35383,2,1,"#cd2626ff"
35384,2,1,"#cd2626ff"
35400,2,1,"#cd2626ff"
35401,2,1,"#cd2626ff"
35447,3,2,"#eead0eff"
35448,3,2,"#eead0eff"
35540,2,1,"#cd2626ff"
35541,2,1,"#cd2626ff"
35542,2,1,"#cd2626ff"
35559,3,2,"#eead0eff"
35560,1,3,"#43cd80ff"
35561,3,2,"#eead0eff"
35565,3,2,"#eead0eff"
35566,3,2,"#eead0eff"
35577,2,1,"#cd2626ff"
35578,2,1,"#cd2626ff"
35579,2,1,"#cd2626ff"
35583,1,3,"#43cd80ff"
35584,1,3,"#43cd80ff"
35585,2,1,"#cd2626ff"
35586,2,1,"#cd2626ff"
35587,1,3,"#43cd80ff"
35595,4,5,"#b452cdff"
35735,2,1,"#cd2626ff"
35736,2,1,"#cd2626ff"
35737,2,1,"#cd2626ff"
35738,2,1,"#cd2626ff"
35739,2,1,"#cd2626ff"
35741,1,3,"#43cd80ff"
35742,4,5,"#b452cdff"
35743,2,1,"#cd2626ff"
35744,2,1,"#cd2626ff"
35745,4,5,"#b452cdff"
35748,3,2,"#eead0eff"
35749,5,4,"#6ca6cdff"
35758,2,1,"#cd2626ff"
35759,2,1,"#cd2626ff"
35760,2,1,"#cd2626ff"
35806,3,2,"#eead0eff"
35807,3,2,"#eead0eff"
35899,3,2,"#eead0eff"
35900,3,2,"#eead0eff"
35901,3,2,"#eead0eff"
35919,3,2,"#eead0eff"
35920,3,2,"#eead0eff"
35925,3,2,"#eead0eff"
35926,3,2,"#eead0eff"
35927,3,2,"#eead0eff"
35938,2,1,"#cd2626ff"
35939,2,1,"#cd2626ff"
35940,3,2,"#eead0eff"
35943,1,3,"#43cd80ff"
35944,1,3,"#43cd80ff"
35945,1,3,"#43cd80ff"
35946,2,1,"#cd2626ff"
35947,2,1,"#cd2626ff"
35959,1,3,"#43cd80ff"
36095,2,1,"#cd2626ff"
36096,2,1,"#cd2626ff"
36105,2,1,"#cd2626ff"
36106,2,1,"#cd2626ff"
36108,5,4,"#6ca6cdff"
36109,2,1,"#cd2626ff"
36112,2,1,"#cd2626ff"
36113,1,3,"#43cd80ff"
36114,2,1,"#cd2626ff"
36115,2,1,"#cd2626ff"
36116,1,3,"#43cd80ff"
36117,2,1,"#cd2626ff"
36118,2,1,"#cd2626ff"
36119,2,1,"#cd2626ff"
36165,3,2,"#eead0eff"
36166,3,2,"#eead0eff"
36167,3,2,"#eead0eff"
36226,5,4,"#6ca6cdff"
36260,3,2,"#eead0eff"
36273,1,3,"#43cd80ff"
36278,2,1,"#cd2626ff"
36279,3,2,"#eead0eff"
36280,2,1,"#cd2626ff"
36284,3,2,"#eead0eff"
36285,3,2,"#eead0eff"
36287,3,2,"#eead0eff"
36288,3,2,"#eead0eff"
36299,2,1,"#cd2626ff"
36300,2,1,"#cd2626ff"
36301,1,3,"#43cd80ff"
36302,1,3,"#43cd80ff"
36303,1,3,"#43cd80ff"
36304,1,3,"#43cd80ff"
36305,1,3,"#43cd80ff"
36306,2,1,"#cd2626ff"
36307,2,1,"#cd2626ff"
36454,2,1,"#cd2626ff"
36455,2,1,"#cd2626ff"
36457,2,1,"#cd2626ff"
36466,4,5,"#b452cdff"
36467,4,5,"#b452cdff"
36468,2,1,"#cd2626ff"
36469,2,1,"#cd2626ff"
36470,2,1,"#cd2626ff"
36471,2,1,"#cd2626ff"
36472,2,1,"#cd2626ff"
36476,1,3,"#43cd80ff"
36479,1,3,"#43cd80ff"
36480,1,3,"#43cd80ff"
36524,3,2,"#eead0eff"
36525,3,2,"#eead0eff"
36526,3,2,"#eead0eff"
36584,5,4,"#6ca6cdff"
36591,5,4,"#6ca6cdff"
36592,3,2,"#eead0eff"
36620,2,1,"#cd2626ff"
36633,1,3,"#43cd80ff"
36634,1,3,"#43cd80ff"
36639,2,1,"#cd2626ff"
36640,3,2,"#eead0eff"
36643,3,2,"#eead0eff"
36644,3,2,"#eead0eff"
36650,3,2,"#eead0eff"
36660,2,1,"#cd2626ff"
36661,2,1,"#cd2626ff"
36662,1,3,"#43cd80ff"
36663,2,1,"#cd2626ff"
36664,2,1,"#cd2626ff"
36665,2,1,"#cd2626ff"
36666,2,1,"#cd2626ff"
36813,2,1,"#cd2626ff"
36814,2,1,"#cd2626ff"
36817,2,1,"#cd2626ff"
36819,5,4,"#6ca6cdff"
36828,2,1,"#cd2626ff"
36829,2,1,"#cd2626ff"
36830,2,1,"#cd2626ff"
36831,1,3,"#43cd80ff"
36832,4,5,"#b452cdff"
36839,1,3,"#43cd80ff"
36884,3,2,"#eead0eff"
36885,3,2,"#eead0eff"
36886,3,2,"#eead0eff"
