ID,cluster,cluster.name,hex
56002,7,18,#FF6A6A
56003,7,18,#FF6A6A
56004,18,14,#9F79EE
56005,4,8,#43CD80
56006,7,18,#FF6A6A
56178,8,1,#FF3030
56179,11,2,#CD2626
56535,8,1,#FF3030
56536,8,1,#FF3030
56537,11,2,#CD2626
56538,11,2,#CD2626
56539,8,1,#FF3030
56894,11,2,#CD2626
56895,8,1,#FF3030
56896,8,1,#FF3030
57129,15,9,#AEEEEE
57222,15,9,#AEEEEE
57230,15,9,#AEEEEE
57231,15,9,#AEEEEE
57257,11,2,#CD2626
57258,11,2,#CD2626
57275,15,9,#AEEEEE
57276,15,9,#AEEEEE
57278,15,9,#AEEEEE
57279,15,9,#AEEEEE
57580,15,9,#AEEEEE
57581,15,9,#AEEEEE
57582,15,9,#AEEEEE
57587,15,9,#AEEEEE
57588,15,9,#AEEEEE
57589,15,9,#AEEEEE
57590,15,9,#AEEEEE
57596,16,10,#6CA6CD
57599,15,9,#AEEEEE
57618,11,2,#CD2626
57619,8,1,#FF3030
57620,8,1,#FF3030
57621,8,1,#FF3030
57622,15,9,#AEEEEE
57624,9,17,#EE799F
57625,9,17,#EE799F
57626,8,1,#FF3030
57627,15,9,#AEEEEE
57628,15,9,#AEEEEE
57629,8,1,#FF3030
57630,15,9,#AEEEEE
57631,8,1,#FF3030
57632,8,1,#FF3030
57633,8,1,#FF3030
57634,15,9,#AEEEEE
57635,8,1,#FF3030
57636,8,1,#FF3030
57637,8,1,#FF3030
57638,8,1,#FF3030
57932,15,9,#AEEEEE
57933,15,9,#AEEEEE
57934,15,9,#AEEEEE
57935,15,9,#AEEEEE
57939,15,9,#AEEEEE
57940,15,9,#AEEEEE
57949,15,9,#AEEEEE
57983,11,2,#CD2626
57984,8,1,#FF3030
57985,8,1,#FF3030
57986,15,9,#AEEEEE
58278,15,9,#AEEEEE
58279,15,9,#AEEEEE
58290,15,9,#AEEEEE
58291,15,9,#AEEEEE
58292,15,9,#AEEEEE
58293,15,9,#AEEEEE
58298,8,1,#FF3030
58299,15,9,#AEEEEE
58646,15,9,#AEEEEE
58647,15,9,#AEEEEE
58650,15,9,#AEEEEE
58968,15,9,#AEEEEE
58969,15,9,#AEEEEE
17995,7,18,#FF6A6A
18719,7,18,#FF6A6A
19040,1,6,#EEDC82
19041,1,6,#EEDC82
20000,7,18,#FF6A6A
20003,7,18,#FF6A6A
20005,7,18,#FF6A6A
20103,1,6,#EEDC82
20359,7,18,#FF6A6A
20462,1,6,#EEDC82
20464,1,6,#EEDC82
20827,1,6,#EEDC82
20833,5,3,#EE7600
20854,1,6,#EEDC82
21193,5,3,#EE7600
21220,12,7,#98FB98
21535,5,3,#EE7600
21948,7,18,#FF6A6A
22254,1,6,#EEDC82
22975,16,10,#6CA6CD
23254,7,18,#FF6A6A
23335,15,9,#AEEEEE
23615,7,18,#FF6A6A
23988,7,18,#FF6A6A
24093,7,18,#FF6A6A
24340,1,6,#EEDC82
24414,7,18,#FF6A6A
24452,7,18,#FF6A6A
24453,7,18,#FF6A6A
24716,7,18,#FF6A6A
24811,7,18,#FF6A6A
24812,7,18,#FF6A6A
24813,7,18,#FF6A6A
25136,7,18,#FF6A6A
25171,7,18,#FF6A6A
25530,7,18,#FF6A6A
25702,7,18,#FF6A6A
25888,7,18,#FF6A6A
25889,7,18,#FF6A6A
25951,10,11,#4876FF
25955,1,6,#EEDC82
26062,7,18,#FF6A6A
26140,7,18,#FF6A6A
26219,18,14,#9F79EE
26250,7,18,#FF6A6A
26306,1,6,#EEDC82
26511,7,18,#FF6A6A
26607,1,6,#EEDC82
26988,1,6,#EEDC82
27302,7,18,#FF6A6A
27685,7,18,#FF6A6A
28024,7,18,#FF6A6A
28045,7,18,#FF6A6A
28405,7,18,#FF6A6A
28668,1,6,#EEDC82
28682,16,10,#6CA6CD
28740,7,18,#FF6A6A
28764,7,18,#FF6A6A
29027,7,18,#FF6A6A
29097,1,6,#EEDC82
29098,7,18,#FF6A6A
29102,1,6,#EEDC82
29757,7,18,#FF6A6A
29773,7,18,#FF6A6A
29807,7,18,#FF6A6A
29808,7,18,#FF6A6A
29829,7,18,#FF6A6A
29830,7,18,#FF6A6A
30132,7,18,#FF6A6A
30165,7,18,#FF6A6A
30175,7,18,#FF6A6A
30182,7,18,#FF6A6A
30194,7,18,#FF6A6A
30474,7,18,#FF6A6A
30492,7,18,#FF6A6A
30493,7,18,#FF6A6A
30547,1,6,#EEDC82
30548,7,18,#FF6A6A
30549,7,18,#FF6A6A
30550,1,6,#EEDC82
30744,7,18,#FF6A6A
