ID,mang_presence,salt_presence,seag_presence
32129,1,0,0
32130,1,0,0
32140,1,0,0
32170,1,0,0
32171,1,0,0
32172,1,0,0
32173,1,0,0
32174,1,0,0
32229,1,0,0
32230,1,0,0
32262,1,0,0
32263,1,0,0
32319,1,0,0
32320,1,0,0
32324,1,0,0
32325,1,0,0
32330,1,0,0
32337,1,0,0
32338,1,0,0
32340,1,0,0
32341,1,0,0
32342,1,0,0
32343,1,0,0
32344,1,0,0
32348,1,0,0
32349,1,0,0
32350,1,0,0
32351,1,0,1
32352,1,0,1
32355,1,0,0
32356,1,0,0
32489,1,0,0
32500,1,0,0
32501,1,0,0
32530,1,0,0
32531,1,0,0
32587,1,0,0
32590,1,0,0
32678,1,0,0
32679,1,0,0
32680,1,0,0
32683,1,0,0
32684,1,0,1
32685,1,0,1
32688,1,0,0
32689,1,0,0
32690,1,0,0
32698,1,0,0
32699,1,0,0
32700,1,0,0
32701,1,0,0
32702,1,0,0
32703,1,0,0
32704,1,0,0
32705,1,0,0
32708,1,0,1
32709,1,0,0
32710,1,0,0
32861,1,0,0
32862,1,0,0
32890,1,0,0
32891,1,0,0
32950,1,0,0
33038,1,0,0
33039,1,0,1
33042,1,0,0
33043,1,0,0
33044,1,0,1
33045,1,0,1
33049,1,0,0
33050,1,0,0
33051,1,0,0
33052,1,0,0
33058,1,0,0
33059,1,0,0
33061,1,0,0
33062,1,0,0
33063,1,0,0
33065,1,0,1
33066,1,0,1
33068,1,0,1
33069,1,0,0
33222,1,0,0
33223,1,0,0
33249,1,0,0
33250,1,0,0
33310,1,0,0
33396,1,0,0
33397,1,0,0
33398,1,0,0
33400,1,0,0
33401,1,0,0
33402,1,0,1
33403,1,0,1
33404,1,0,0
33406,1,0,0
33407,1,0,0
33409,1,0,0
33410,1,0,0
33412,1,0,0
33413,1,0,0
33418,1,0,0
33419,1,0,0
33426,1,0,1
33428,1,0,0
33429,1,0,0
33583,1,0,0
33609,1,0,0
33610,1,0,0
33670,1,0,0
33759,1,0,0
33760,1,0,0
33761,1,0,0
33762,1,0,0
33764,1,0,0
33766,1,0,0
33767,1,0,0
33768,1,0,0
33769,1,0,0
33774,1,0,0
33778,1,0,0
33786,1,0,0
33943,1,0,0
33968,1,0,0
33969,1,0,0
34011,1,0,0
34012,1,0,0
34013,1,0,0
34014,1,0,0
34015,1,0,0
34018,1,0,1
34019,1,0,1
34026,1,0,1
34027,1,0,1
34028,1,0,1
34029,1,0,0
34030,1,0,0
34118,1,0,0
34119,1,0,0
34121,1,0,0
34124,1,0,0
34128,1,0,0
34129,1,0,0
34135,1,0,0
34136,1,0,0
34138,1,0,0
34139,1,0,0
34148,1,0,0
34303,1,0,0
34323,1,0,0
34324,1,0,0
34325,1,0,0
34326,1,0,0
34327,1,0,0
34328,1,0,0
34370,1,0,0
34371,1,0,0
34372,1,0,0
34375,1,0,0
34376,1,0,0
34377,1,0,0
34378,1,0,0
34379,1,0,1
34380,1,0,1
34381,1,0,1
34385,1,0,1
34386,1,0,1
34389,1,0,0
34461,1,0,1
34478,1,0,0
34481,1,0,0
34483,1,0,0
34484,1,0,0
34496,1,0,0
34497,1,0,0
34498,1,0,0
34499,1,0,0
34500,1,0,0
34501,1,0,0
34502,1,0,0
34663,1,0,0
34682,1,0,0
34683,1,0,0
34684,1,0,0
34685,1,0,0
34729,1,0,0
34730,1,0,0
34742,1,0,1
34743,1,0,1
34744,1,0,1
34745,1,0,1
34746,1,0,0
34820,1,0,1
34821,1,0,1
34822,1,0,0
34840,1,0,0
34841,1,0,1
34842,1,0,1
34843,1,0,0
34857,1,0,0
34858,1,0,0
34859,1,0,1
34861,1,0,0
34862,1,0,1
34863,1,0,1
34865,1,0,0
34867,1,0,0
34875,1,0,0
34899,1,0,0
35019,1,0,0
35020,1,0,0
35022,1,0,0
35023,1,0,0
35024,1,0,0
35041,1,0,0
35042,1,0,0
35088,1,0,1
35089,1,0,0
35180,1,0,1
35182,1,0,0
35199,1,0,1
35200,1,0,1
35201,1,0,0
35217,1,0,0
35218,1,0,0
35223,1,0,1
35224,1,0,0
35225,1,0,0
35227,1,0,0
35235,1,0,1
35252,1,0,1
35259,1,0,0
35377,1,0,0
35378,1,0,1
35379,1,0,1
35380,1,0,0
35381,1,0,0
35382,1,0,0
35383,1,0,1
35384,1,0,0
35400,1,0,0
35401,1,0,0
35447,1,0,1
35448,1,0,1
35540,1,0,1
35541,1,0,1
35542,1,0,0
35559,1,0,1
35560,1,0,0
35561,1,0,0
35565,1,0,0
35566,1,0,0
35577,1,0,0
35578,1,0,0
35579,1,0,0
35583,1,0,0
35584,1,0,0
35585,1,0,0
35586,1,0,0
35587,1,0,0
35595,1,0,1
35735,1,0,0
35736,1,0,0
35737,1,0,0
35738,1,0,1
35739,1,0,1
35741,1,0,0
35742,1,0,0
35743,1,0,0
35744,1,0,1
35745,1,0,1
35748,1,0,0
35749,1,0,0
35758,1,0,0
35759,1,0,0
35760,1,0,0
35806,1,0,1
35807,1,0,1
35899,1,0,1
35900,1,0,1
35901,1,0,1
35919,1,0,1
35920,1,0,1
35925,1,0,0
35926,1,0,0
35927,1,0,0
35938,1,0,0
35939,1,0,0
35940,1,0,0
35943,1,0,0
35944,1,0,1
35945,1,0,1
35946,1,0,1
35947,1,0,1
35959,1,0,0
36095,1,0,0
36096,1,0,0
36105,1,0,1
36106,1,0,0
36108,1,0,0
36109,1,0,0
36112,1,0,1
36113,1,0,0
36114,1,0,0
36115,1,0,0
36116,1,0,1
36117,1,0,1
36118,1,0,0
36119,1,0,0
36165,1,0,1
36166,1,0,1
36167,1,0,0
36226,1,0,0
36260,1,0,0
36273,1,0,1
36278,1,0,0
36279,1,0,1
36280,1,0,0
36284,1,0,0
36285,1,0,0
36287,1,0,0
36288,1,0,0
36299,1,0,0
36300,1,0,1
36301,1,0,1
36302,1,0,0
36303,1,0,0
36304,1,0,1
36305,1,0,0
36306,1,0,1
36307,1,0,0
36454,1,0,0
36455,1,0,0
36457,1,0,0
36466,1,0,1
36467,1,0,1
36468,1,0,1
36469,1,0,1
36470,1,0,0
36471,1,0,0
36472,1,0,0
36476,1,0,1
36479,1,0,1
36480,1,0,1
36524,1,0,1
36525,1,0,1
36526,1,0,1
36584,1,0,0
36591,1,0,0
36592,1,0,0
36620,1,0,0
36633,1,0,1
36634,1,0,1
36639,1,0,0
36640,1,0,0
36643,1,0,0
36644,1,0,0
36650,1,0,0
36660,1,0,1
36661,1,0,0
36662,1,0,0
36663,1,0,0
36664,1,0,0
36665,1,0,0
36666,1,0,0
36813,1,0,0
36814,1,0,0
36817,1,0,1
36819,1,0,1
36828,1,0,1
36829,1,0,1
36830,1,0,1
36831,1,0,1
36832,1,0,1
36839,1,0,1
36884,1,0,1
36885,1,0,0
36886,1,0,0
36943,1,0,0
36944,1,0,1
36954,1,0,0
36955,1,0,0
36993,1,0,1
36994,1,0,1
36998,1,0,0
36999,1,0,0
37000,1,0,0
37001,1,0,0
37002,1,0,1
37003,1,0,0
37020,1,0,0
37021,1,0,0
37022,1,0,0
37023,1,0,0
37024,1,0,1
37025,1,0,1
37026,1,0,0
37169,1,0,0
37170,1,0,0
37171,1,0,0
37172,1,0,0
37173,1,0,0
37177,1,0,1
37179,1,0,1
37199,1,0,1
37200,1,0,1
37201,1,0,1
37244,1,0,0
37245,1,0,0
37303,1,0,0
37304,1,0,1
37353,1,0,1
37354,1,0,1
37359,1,0,1
37360,1,0,0
37361,1,0,0
37362,1,0,0
37370,1,0,0
37381,1,0,1
37382,1,0,1
37383,1,0,1
37384,1,0,1
37385,1,0,1
37528,1,0,0
37529,1,0,0
37537,1,0,1
37538,1,0,0
37559,1,0,1
37560,1,0,1
37604,1,0,1
37661,1,0,1
37663,1,0,1
37718,1,0,0
37719,1,0,0
37730,1,0,0
37741,1,0,1
37742,1,0,1
37743,1,0,1
37744,1,0,1
37745,1,0,0
37883,1,0,0
37884,1,0,0
37885,1,0,0
37887,1,0,0
37888,1,0,0
37892,1,0,1
37893,1,0,0
37894,1,0,1
37895,1,0,1
37896,1,0,1
37897,1,0,1
37919,1,0,1
37964,1,0,0
38020,1,0,0
38021,1,0,0
38023,1,0,1
38061,1,0,0
38062,1,0,0
38075,1,0,0
38076,1,0,0
38078,1,0,0
38100,1,0,0
38101,1,0,0
38102,1,0,1
38103,1,0,1
38240,1,0,0
38241,1,0,0
38242,1,0,0
38243,1,0,0
38245,1,0,0
38246,1,0,0
38247,1,0,0
38252,1,0,1
38253,1,0,1
38254,1,0,1
38255,1,0,1
38279,1,0,1
38324,1,0,0
38380,1,0,0
38381,1,0,0
38382,1,0,0
38383,1,0,1
38422,1,0,0
38423,1,0,0
38435,1,0,0
38436,1,0,0
38437,1,0,0
38438,1,0,0
38448,1,0,0
38460,1,0,0
38461,1,0,0
38463,1,0,0
38598,1,0,0
38599,1,0,0
38600,1,0,0
38612,1,0,1
38613,1,0,1
38623,1,0,0
38624,1,0,1
38629,1,0,0
38633,1,1,1
38634,1,1,1
38635,1,1,1
38636,1,1,1
38638,1,0,1
38639,1,0,1
38739,1,0,0
38742,1,0,1
38743,1,0,1
38755,1,0,0
38774,1,0,0
38795,1,0,0
38798,1,0,0
38807,1,0,1
38821,1,0,0
38823,1,0,0
38905,1,0,0
38956,1,0,0
38957,1,0,0
38958,1,0,0
38964,1,0,0
38965,1,0,1
38966,1,0,0
38967,1,0,0
38968,1,1,0
38969,1,1,1
38970,1,0,0
38972,1,0,1
38973,1,0,1
38982,1,0,0
38983,1,0,0
38984,1,0,1
38986,1,0,0
38987,1,0,1
38988,1,0,1
38989,1,0,0
38990,1,0,1
38991,1,0,1
38992,1,0,0
38993,1,1,1
38994,1,1,1
38995,1,1,1
38996,1,1,1
38997,1,0,1
39098,1,0,1
39099,1,0,1
39102,1,0,1
39133,1,0,0
39134,1,0,0
39154,1,0,1
39155,1,0,1
39166,1,0,0
39167,1,0,0
39170,1,1,1
39171,0,1,1
39181,1,0,0
39182,1,0,0
39183,1,0,0
39315,1,1,0
39316,1,0,0
39324,1,0,1
39325,1,0,1
39329,1,0,1
39330,1,0,1
39333,1,0,1
39339,1,0,0
39340,1,0,1
39343,1,0,0
39344,1,0,0
39345,1,0,1
39346,1,0,0
39347,1,0,0
39348,1,0,1
39349,1,0,0
39350,1,0,0
39351,1,0,0
39352,1,0,0
39458,1,0,1
39461,1,0,1
39493,1,0,0
39494,1,0,0
39514,1,0,1
39515,1,0,1
39526,1,0,0
39527,1,0,0
39529,1,1,0
39530,1,1,1
39531,1,1,1
39542,1,0,0
39675,1,1,0
39683,1,0,0
39684,1,0,0
39690,1,1,1
39693,1,0,1
39694,1,0,1
39701,1,0,1
39702,1,0,1
39703,1,0,0
39704,1,0,0
39705,1,0,0
39706,1,0,0
39707,1,0,0
39818,1,0,0
39820,1,0,1
39821,1,0,1
39851,1,0,0
39852,1,0,0
39853,1,0,0
39867,1,0,0
39868,1,0,0
39873,1,0,1
39874,1,0,1
39887,1,0,0
39888,1,0,0
39890,1,1,0
39891,1,1,1
39981,1,1,1
39982,1,1,1
39983,1,1,1
39984,1,1,0
40035,1,1,0
40043,1,0,1
40050,1,0,1
40051,1,0,1
40052,1,0,1
40053,1,0,1
40054,1,0,1
40056,1,0,1
40057,1,0,1
40058,1,0,1
40059,1,0,1
40060,1,0,1
40061,1,0,1
40062,1,0,1
40063,1,0,1
40064,1,0,0
40065,1,0,0
40067,1,0,0
40068,1,0,1
40069,1,0,1
40177,1,0,0
40180,1,0,1
40210,1,0,0
40212,1,0,0
40213,1,0,0
40227,1,0,0
40228,1,0,0
40229,1,0,0
40230,1,0,0
40231,1,0,0
40232,1,0,0
40233,1,0,0
40247,1,0,0
40248,1,1,0
40249,1,1,0
40250,1,1,0
40251,1,1,1
40252,1,1,0
40253,1,1,0
40394,1,0,0
40395,1,1,0
40402,1,0,0
40403,1,0,0
40416,1,0,1
40417,1,0,1
40418,1,0,1
40419,1,0,1
40420,1,0,1
40421,1,0,1
40422,1,0,1
40423,1,0,1
40426,1,0,0
40427,1,0,1
40428,1,0,1
40536,1,0,0
40537,1,0,0
40539,1,0,1
40540,1,0,1
40560,1,0,0
40570,1,0,0
40571,1,0,0
40573,1,0,0
40589,1,0,0
40590,1,0,0
40591,1,0,0
40592,1,0,0
40613,1,1,0
40614,1,1,0
40615,1,1,1
40753,1,1,0
40754,1,1,0
40763,1,1,0
40777,1,0,0
40778,1,0,0
40779,1,0,1
40780,1,0,1
40781,1,0,1
40783,1,0,1
40784,1,0,0
40785,1,0,0
40786,1,0,1
40896,1,0,1
40899,1,0,1
40913,1,0,0
40919,1,0,0
40928,1,0,0
40929,1,0,0
40931,1,0,0
40978,1,1,0
40981,1,1,0
41108,1,0,0
41109,1,0,0
41110,1,0,0
41112,1,1,0
41113,1,1,0
41138,1,1,1
41139,1,1,1
41140,1,1,1
41142,1,0,0
41143,1,0,1
41144,1,0,0
41145,1,0,0
41256,1,0,1
41258,1,0,1
41259,1,0,1
41273,1,1,1
41274,1,1,1
41275,1,1,1
41277,1,0,0
41287,1,0,0
41288,1,0,0
41289,1,0,0
41338,1,1,0
41339,1,1,0
41341,1,1,0
41344,1,0,1
41345,1,0,1
41346,1,0,1
41468,1,0,0
41469,1,0,0
41471,1,0,0
41472,1,0,0
41483,1,1,1
41499,1,1,1
41500,1,1,1
41501,1,0,0
41502,1,0,1
41503,1,0,1
41504,1,0,0
41615,1,0,1
41617,1,0,1
41618,1,0,1
41631,1,0,1
41632,1,0,1
41636,1,0,0
41637,1,0,0
41638,1,0,0
41639,1,0,0
41642,1,0,0
41644,1,0,0
41645,1,0,0
41647,1,0,0
41699,1,1,0
41700,1,1,0
41702,1,1,0
41827,1,0,0
41828,1,0,0
41829,1,0,0
