ID,mang_presence,salt_presence,seag_presence,cluster_5,hex_5,cluster_18,hex_18
26598,1,1,1,5,#b452cd,7,#98FB98
26599,1,1,1,5,#b452cd,7,#98FB98
26600,1,1,1,5,#b452cd,7,#98FB98
26601,1,0,0,5,#b452cd,7,#98FB98
26602,1,1,0,5,#b452cd,7,#98FB98
26606,1,1,1,1,#cd2626,5,#EEAD0E
26628,1,0,1,5,#b452cd,5,#EEAD0E
26639,1,0,0,3,#43cd80,5,#EEAD0E
26640,1,0,0,3,#43cd80,3,#EE7600
26781,1,0,0,1,#cd2626,16,#FF3E96
26782,1,0,0,1,#cd2626,16,#FF3E96
26861,1,0,0,1,#cd2626,4,#EEC900
26866,1,0,1,3,#43cd80,4,#EEC900
26867,1,0,1,1,#cd2626,4,#EEC900
26868,1,0,1,1,#cd2626,4,#EEC900
26945,1,1,0,1,#cd2626,13,#EEAEEE
26946,1,1,0,4,#6ca6cd,13,#EEAEEE
26948,1,1,0,5,#b452cd,7,#98FB98
26949,1,1,0,1,#cd2626,6,#EEDC82
26950,1,1,0,1,#cd2626,7,#98FB98
26956,1,1,1,5,#b452cd,7,#98FB98
26957,1,1,1,5,#b452cd,7,#98FB98
26958,1,1,0,5,#b452cd,7,#98FB98
26962,1,1,0,5,#b452cd,7,#98FB98
26966,1,1,1,5,#b452cd,7,#98FB98
27009,1,0,1,1,#cd2626,6,#EEDC82
27010,1,1,1,1,#cd2626,6,#EEDC82
27141,1,0,0,1,#cd2626,16,#FF3E96
27142,1,0,0,1,#cd2626,16,#FF3E96
27221,1,0,0,1,#cd2626,4,#EEC900
27228,1,0,1,3,#43cd80,4,#EEC900
27229,1,0,0,1,#cd2626,4,#EEC900
27305,1,0,0,4,#6ca6cd,13,#EEAEEE
27306,1,1,0,5,#b452cd,7,#98FB98
27307,1,1,0,5,#b452cd,7,#98FB98
27308,1,1,0,1,#cd2626,7,#98FB98
27309,1,1,0,1,#cd2626,6,#EEDC82
27310,1,1,0,1,#cd2626,7,#98FB98
27316,1,1,1,1,#cd2626,7,#98FB98
27317,1,0,1,5,#b452cd,7,#98FB98
27322,1,1,0,5,#b452cd,7,#98FB98
27324,1,1,1,5,#b452cd,7,#98FB98
27325,1,1,1,1,#cd2626,7,#98FB98
27326,1,1,1,1,#cd2626,7,#98FB98
27368,1,0,1,1,#cd2626,6,#EEDC82
27369,1,0,1,1,#cd2626,6,#EEDC82
27501,1,0,0,1,#cd2626,16,#FF3E96
27502,1,0,0,1,#cd2626,16,#FF3E96
27581,1,0,1,1,#cd2626,4,#EEC900
27588,1,0,0,3,#43cd80,4,#EEC900
27589,1,0,1,3,#43cd80,4,#EEC900
27590,1,0,0,3,#43cd80,4,#EEC900
27667,1,1,0,5,#b452cd,7,#98FB98
27668,1,0,0,5,#b452cd,7,#98FB98
27670,1,1,0,5,#b452cd,7,#98FB98
27671,1,1,0,3,#43cd80,7,#98FB98
27676,1,1,1,1,#cd2626,7,#98FB98
27677,1,1,1,1,#cd2626,7,#98FB98
27682,1,1,1,1,#cd2626,7,#98FB98
27684,1,1,1,5,#b452cd,7,#98FB98
27862,1,0,0,1,#cd2626,16,#FF3E96
27863,1,0,0,1,#cd2626,16,#FF3E96
27941,1,0,1,1,#cd2626,4,#EEC900
27944,1,0,0,3,#43cd80,10,#6CA6CD
27945,1,0,1,3,#43cd80,5,#EEAD0E
27946,1,0,1,3,#43cd80,4,#EEC900
27949,1,0,0,3,#43cd80,4,#EEC900
27950,1,1,0,3,#43cd80,4,#EEC900
28031,1,1,0,3,#43cd80,5,#EEAD0E
28032,1,1,1,4,#6ca6cd,13,#EEAEEE
28033,1,1,0,4,#6ca6cd,13,#EEAEEE
28035,1,1,1,1,#cd2626,7,#98FB98
28036,1,1,1,1,#cd2626,7,#98FB98
28037,1,1,1,5,#b452cd,7,#98FB98
28042,1,1,1,1,#cd2626,7,#98FB98
28043,1,1,1,1,#cd2626,7,#98FB98
28044,1,1,1,1,#cd2626,7,#98FB98
28223,1,0,0,1,#cd2626,16,#FF3E96
28301,1,0,0,3,#43cd80,4,#EEC900
28304,1,0,0,1,#cd2626,18,#FF6A6A
28310,1,0,0,1,#cd2626,18,#FF6A6A
28391,1,1,0,5,#b452cd,7,#98FB98
28392,1,1,0,1,#cd2626,7,#98FB98
28393,1,1,0,4,#6ca6cd,13,#EEAEEE
28394,1,1,1,1,#cd2626,7,#98FB98
28395,1,1,1,1,#cd2626,7,#98FB98
28396,1,0,1,5,#b452cd,7,#98FB98
28397,1,0,1,5,#b452cd,7,#98FB98
28402,1,1,1,1,#cd2626,7,#98FB98
28403,1,1,1,5,#b452cd,7,#98FB98
28404,1,1,1,5,#b452cd,7,#98FB98
28413,1,0,0,5,#b452cd,8,#43CD80
28414,1,0,0,5,#b452cd,8,#43CD80
28415,1,0,0,5,#b452cd,8,#43CD80
28427,1,0,0,5,#b452cd,8,#43CD80
28583,1,0,0,1,#cd2626,16,#FF3E96
28584,1,0,0,1,#cd2626,16,#FF3E96
28634,1,0,0,4,#6ca6cd,12,#6959CD
28660,1,0,0,1,#cd2626,4,#EEC900
28661,1,0,0,1,#cd2626,4,#EEC900
28741,1,0,0,3,#43cd80,5,#EEAD0E
28743,1,0,1,3,#43cd80,5,#EEAD0E
28744,1,0,0,3,#43cd80,5,#EEAD0E
28745,1,0,0,1,#cd2626,5,#EEAD0E
28753,1,0,0,5,#b452cd,6,#EEDC82
28763,1,1,1,5,#b452cd,7,#98FB98
28768,1,0,1,5,#b452cd,7,#98FB98
28769,1,0,1,5,#b452cd,7,#98FB98
28770,1,0,1,5,#b452cd,7,#98FB98
28771,1,0,1,5,#b452cd,7,#98FB98
28772,1,0,1,5,#b452cd,8,#43CD80
28782,1,0,0,5,#b452cd,8,#43CD80
28783,1,0,0,5,#b452cd,8,#43CD80
28786,1,0,0,5,#b452cd,8,#43CD80
28787,1,0,0,5,#b452cd,8,#43CD80
28944,1,0,0,1,#cd2626,16,#FF3E96
28945,1,0,0,1,#cd2626,16,#FF3E96
28994,1,0,1,2,#eead0e,15,#B452CD
29020,1,0,0,1,#cd2626,4,#EEC900
29099,1,0,0,1,#cd2626,5,#EEAD0E
29100,1,0,0,3,#43cd80,5,#EEAD0E
29101,1,0,0,3,#43cd80,5,#EEAD0E
29105,1,0,0,3,#43cd80,5,#EEAD0E
29106,1,0,0,1,#cd2626,5,#EEAD0E
29107,1,0,0,1,#cd2626,6,#EEDC82
29121,1,0,0,1,#cd2626,18,#FF6A6A
29122,1,0,0,1,#cd2626,7,#98FB98
29123,1,0,1,5,#b452cd,7,#98FB98
29124,1,0,1,5,#b452cd,7,#98FB98
29127,1,0,0,5,#b452cd,8,#43CD80
29128,1,0,1,5,#b452cd,7,#98FB98
29129,1,0,0,5,#b452cd,8,#43CD80
29130,1,0,1,5,#b452cd,7,#98FB98
29131,1,0,0,5,#b452cd,8,#43CD80
29132,1,0,0,5,#b452cd,8,#43CD80
29133,1,0,0,5,#b452cd,8,#43CD80
29140,1,0,0,5,#b452cd,8,#43CD80
29141,1,0,0,5,#b452cd,8,#43CD80
29142,1,0,1,5,#b452cd,8,#43CD80
29305,1,0,0,1,#cd2626,16,#FF3E96
29306,1,0,0,1,#cd2626,16,#FF3E96
29354,1,0,1,2,#eead0e,15,#B452CD
29380,1,0,0,1,#cd2626,4,#EEC900
29453,1,0,0,3,#43cd80,5,#EEAD0E
29455,1,0,1,3,#43cd80,5,#EEAD0E
29456,1,0,1,1,#cd2626,5,#EEAD0E
29457,1,0,1,3,#43cd80,5,#EEAD0E
29458,1,0,0,1,#cd2626,5,#EEAD0E
29459,1,0,1,3,#43cd80,5,#EEAD0E
29460,1,0,1,3,#43cd80,5,#EEAD0E
29461,1,0,0,3,#43cd80,5,#EEAD0E
29462,1,0,0,3,#43cd80,5,#EEAD0E
29463,1,0,0,3,#43cd80,5,#EEAD0E
29464,1,0,0,3,#43cd80,5,#EEAD0E
29465,1,0,0,3,#43cd80,5,#EEAD0E
29466,1,0,0,3,#43cd80,3,#EE7600
29467,1,0,1,3,#43cd80,5,#EEAD0E
29468,1,0,0,3,#43cd80,5,#EEAD0E
29471,1,0,0,1,#cd2626,5,#EEAD0E
29472,1,0,0,1,#cd2626,5,#EEAD0E
29478,1,0,0,1,#cd2626,6,#EEDC82
29479,1,0,0,1,#cd2626,5,#EEAD0E
29480,1,0,0,1,#cd2626,5,#EEAD0E
29481,1,0,0,1,#cd2626,16,#FF3E96
29482,1,0,0,1,#cd2626,7,#98FB98
29483,1,0,0,5,#b452cd,7,#98FB98
29484,1,0,0,5,#b452cd,7,#98FB98
29486,1,0,0,5,#b452cd,8,#43CD80
29487,1,0,0,5,#b452cd,7,#98FB98
29488,1,0,0,5,#b452cd,6,#EEDC82
29489,1,0,0,5,#b452cd,7,#98FB98
29490,1,0,0,5,#b452cd,6,#EEDC82
29491,1,0,0,5,#b452cd,8,#43CD80
29492,1,0,0,5,#b452cd,8,#43CD80
29493,1,0,0,5,#b452cd,8,#43CD80
29497,1,0,0,5,#b452cd,8,#43CD80
29498,1,0,0,5,#b452cd,8,#43CD80
29499,1,0,0,5,#b452cd,8,#43CD80
29500,1,0,0,5,#b452cd,8,#43CD80
29501,1,0,0,5,#b452cd,8,#43CD80
29502,1,0,0,5,#b452cd,8,#43CD80
29666,1,0,0,1,#cd2626,16,#FF3E96
29713,1,0,0,2,#eead0e,15,#B452CD
29714,1,0,0,2,#eead0e,15,#B452CD
29740,1,0,0,1,#cd2626,4,#EEC900
29809,1,0,0,2,#eead0e,14,#9F79EE
29810,1,0,0,3,#43cd80,5,#EEAD0E
29813,1,0,0,2,#eead0e,17,#EE799F
29814,1,0,1,3,#43cd80,5,#EEAD0E
29815,1,0,1,3,#43cd80,3,#EE7600
29816,1,0,1,3,#43cd80,3,#EE7600
29821,1,0,0,1,#cd2626,18,#FF6A6A
29822,1,0,0,1,#cd2626,6,#EEDC82
29826,1,0,0,3,#43cd80,5,#EEAD0E
29831,1,0,0,3,#43cd80,5,#EEAD0E
29832,1,0,0,1,#cd2626,5,#EEAD0E
29835,1,0,0,1,#cd2626,6,#EEDC82
29838,1,0,0,1,#cd2626,6,#EEDC82
29839,1,0,0,1,#cd2626,6,#EEDC82
29840,1,0,0,1,#cd2626,6,#EEDC82
29841,1,0,0,5,#b452cd,6,#EEDC82
29844,1,0,0,5,#b452cd,8,#43CD80
29845,1,0,0,5,#b452cd,8,#43CD80
29846,1,0,0,5,#b452cd,7,#98FB98
29848,1,0,1,5,#b452cd,8,#43CD80
29856,1,0,0,5,#b452cd,8,#43CD80
29857,1,0,0,5,#b452cd,8,#43CD80
29858,1,0,0,5,#b452cd,8,#43CD80
29859,1,0,0,5,#b452cd,8,#43CD80
29860,1,0,0,5,#b452cd,8,#43CD80
30025,1,0,0,1,#cd2626,16,#FF3E96
30026,1,0,0,1,#cd2626,16,#FF3E96
30073,1,0,0,2,#eead0e,15,#B452CD
30099,1,0,0,3,#43cd80,4,#EEC900
30100,1,0,1,1,#cd2626,4,#EEC900
30166,1,0,0,3,#43cd80,5,#EEAD0E
30167,1,0,0,2,#eead0e,17,#EE799F
30168,1,0,0,3,#43cd80,17,#EE799F
30169,1,0,0,3,#43cd80,17,#EE799F
30170,1,0,0,2,#eead0e,17,#EE799F
30171,1,0,0,3,#43cd80,17,#EE799F
30172,1,0,0,2,#eead0e,17,#EE799F
30173,1,0,0,3,#43cd80,3,#EE7600
30174,1,0,0,3,#43cd80,3,#EE7600
30176,1,0,1,3,#43cd80,5,#EEAD0E
30181,1,0,0,3,#43cd80,3,#EE7600
30192,1,0,0,1,#cd2626,6,#EEDC82
30195,1,0,1,1,#cd2626,5,#EEAD0E
30199,1,0,0,1,#cd2626,6,#EEDC82
30200,1,0,0,5,#b452cd,6,#EEDC82
30207,1,0,0,5,#b452cd,7,#98FB98
30208,1,0,1,5,#b452cd,8,#43CD80
30209,1,0,0,5,#b452cd,8,#43CD80
30210,1,0,0,5,#b452cd,8,#43CD80
30211,1,0,0,5,#b452cd,8,#43CD80
30216,1,0,0,5,#b452cd,8,#43CD80
30217,1,0,0,5,#b452cd,8,#43CD80
30218,1,0,0,5,#b452cd,8,#43CD80
30384,1,0,0,1,#cd2626,16,#FF3E96
30385,1,0,0,1,#cd2626,16,#FF3E96
30433,1,0,0,2,#eead0e,15,#B452CD
30459,1,0,0,1,#cd2626,4,#EEC900
30460,1,0,0,1,#cd2626,4,#EEC900
30523,1,0,1,3,#43cd80,5,#EEAD0E
30524,1,0,0,1,#cd2626,18,#FF6A6A
30525,1,0,0,2,#eead0e,18,#FF6A6A
30526,1,0,0,2,#eead0e,18,#FF6A6A
30527,1,0,0,3,#43cd80,17,#EE799F
30528,1,0,0,3,#43cd80,17,#EE799F
30529,1,0,0,3,#43cd80,5,#EEAD0E
30531,1,0,0,3,#43cd80,3,#EE7600
30533,1,0,1,3,#43cd80,3,#EE7600
30535,1,0,0,3,#43cd80,3,#EE7600
30540,1,0,1,3,#43cd80,3,#EE7600
30541,1,0,0,1,#cd2626,5,#EEAD0E
30542,1,0,0,3,#43cd80,3,#EE7600
30543,1,0,0,3,#43cd80,5,#EEAD0E
30544,1,0,0,3,#43cd80,3,#EE7600
30553,1,0,1,3,#43cd80,5,#EEAD0E
30554,1,0,1,3,#43cd80,5,#EEAD0E
30555,1,0,1,1,#cd2626,5,#EEAD0E
30558,1,0,0,1,#cd2626,5,#EEAD0E
30559,1,0,0,1,#cd2626,16,#FF3E96
30566,1,0,0,5,#b452cd,8,#43CD80
30568,1,0,0,5,#b452cd,8,#43CD80
30569,1,0,0,5,#b452cd,8,#43CD80
30570,1,0,0,5,#b452cd,8,#43CD80
30571,1,0,0,5,#b452cd,8,#43CD80
30572,1,0,0,5,#b452cd,8,#43CD80
30575,1,0,0,1,#cd2626,6,#EEDC82
30576,1,0,0,5,#b452cd,8,#43CD80
30742,1,0,0,1,#cd2626,13,#EEAEEE
30743,1,0,0,1,#cd2626,16,#FF3E96
30820,1,0,1,1,#cd2626,4,#EEC900
30836,1,0,0,3,#43cd80,4,#EEC900
30886,1,0,0,2,#eead0e,18,#FF6A6A
30895,1,0,0,3,#43cd80,3,#EE7600
30897,1,0,0,3,#43cd80,3,#EE7600
30900,1,0,0,3,#43cd80,5,#EEAD0E
30901,1,0,0,2,#eead0e,17,#EE799F
30902,1,0,0,3,#43cd80,3,#EE7600
30903,1,0,0,1,#cd2626,18,#FF6A6A
30904,1,0,0,3,#43cd80,5,#EEAD0E
30912,1,0,0,3,#43cd80,6,#EEDC82
30913,1,0,0,3,#43cd80,3,#EE7600
30914,1,0,0,3,#43cd80,5,#EEAD0E
30915,1,0,0,1,#cd2626,5,#EEAD0E
30916,1,0,0,1,#cd2626,5,#EEAD0E
30917,1,0,0,1,#cd2626,5,#EEAD0E
30918,1,0,0,1,#cd2626,16,#FF3E96
30925,1,0,0,5,#b452cd,7,#98FB98
30926,1,0,0,1,#cd2626,6,#EEDC82
30932,1,0,1,5,#b452cd,8,#43CD80
30933,1,0,1,5,#b452cd,8,#43CD80
30935,1,0,0,5,#b452cd,8,#43CD80
31060,1,1,0,1,#cd2626,16,#FF3E96
31061,1,0,0,1,#cd2626,16,#FF3E96
31096,1,0,0,1,#cd2626,16,#FF3E96
31099,1,0,0,1,#cd2626,4,#EEC900
31100,1,0,0,1,#cd2626,5,#EEAD0E
31101,1,0,1,1,#cd2626,16,#FF3E96
31102,1,0,1,1,#cd2626,5,#EEAD0E
31151,1,0,0,2,#eead0e,15,#B452CD
31180,1,0,1,1,#cd2626,4,#EEC900
31181,1,0,0,3,#43cd80,4,#EEC900
31241,1,0,0,3,#43cd80,5,#EEAD0E
31246,1,0,0,1,#cd2626,1,#FF3030
31247,1,0,0,3,#43cd80,18,#FF6A6A
31248,1,0,0,3,#43cd80,5,#EEAD0E
31249,1,0,0,3,#43cd80,3,#EE7600
31251,1,0,0,2,#eead0e,14,#9F79EE
31252,1,0,0,2,#eead0e,18,#FF6A6A
31253,1,0,0,4,#6ca6cd,1,#FF3030
31254,1,0,0,1,#cd2626,18,#FF6A6A
31255,1,0,0,2,#eead0e,18,#FF6A6A
31256,1,0,0,3,#43cd80,3,#EE7600
31257,1,0,0,1,#cd2626,1,#FF3030
31259,1,0,0,3,#43cd80,5,#EEAD0E
31260,1,0,0,1,#cd2626,17,#EE799F
31261,1,0,0,1,#cd2626,17,#EE799F
31262,1,0,0,1,#cd2626,18,#FF6A6A
31263,1,0,0,1,#cd2626,18,#FF6A6A
31264,1,0,0,3,#43cd80,17,#EE799F
31266,1,0,0,1,#cd2626,6,#EEDC82
31267,1,0,0,5,#b452cd,8,#43CD80
31268,1,0,1,3,#43cd80,5,#EEAD0E
31269,1,0,1,3,#43cd80,5,#EEAD0E
31270,1,0,0,1,#cd2626,18,#FF6A6A
31271,1,0,0,3,#43cd80,3,#EE7600
31273,1,0,0,3,#43cd80,5,#EEAD0E
31274,1,0,0,1,#cd2626,5,#EEAD0E
31275,1,0,0,1,#cd2626,6,#EEDC82
31276,1,0,0,1,#cd2626,6,#EEDC82
31283,1,0,0,5,#b452cd,8,#43CD80
31284,1,0,1,5,#b452cd,8,#43CD80
31285,1,0,0,5,#b452cd,8,#43CD80
31292,1,0,0,5,#b452cd,8,#43CD80
31293,1,0,0,5,#b452cd,8,#43CD80
31420,1,0,0,1,#cd2626,16,#FF3E96
31421,1,0,0,1,#cd2626,16,#FF3E96
31456,1,0,0,1,#cd2626,16,#FF3E96
31457,1,0,0,1,#cd2626,16,#FF3E96
31458,1,0,0,1,#cd2626,16,#FF3E96
31459,1,0,0,1,#cd2626,16,#FF3E96
31460,1,0,0,1,#cd2626,4,#EEC900
31461,1,0,0,1,#cd2626,16,#FF3E96
31510,1,0,0,2,#eead0e,15,#B452CD
31541,1,0,0,1,#cd2626,4,#EEC900
31542,1,0,0,1,#cd2626,4,#EEC900
31600,1,0,0,3,#43cd80,5,#EEAD0E
31601,1,0,0,3,#43cd80,5,#EEAD0E
31602,1,0,0,2,#eead0e,1,#FF3030
31605,1,0,0,1,#cd2626,18,#FF6A6A
31606,1,0,0,3,#43cd80,3,#EE7600
31607,1,0,0,1,#cd2626,18,#FF6A6A
31608,1,0,0,3,#43cd80,5,#EEAD0E
31609,1,0,0,3,#43cd80,3,#EE7600
31611,1,0,0,1,#cd2626,1,#FF3030
31612,1,0,0,2,#eead0e,1,#FF3030
31613,1,0,0,2,#eead0e,18,#FF6A6A
